x_axis,dose,mean,lower,upper
379,1,0.953476484,0.9525362,0.954416767
380,1,0.953385773,0.952446724,0.954324823
381,1,0.953296515,0.952358771,0.954234259
382,1,0.953208718,0.952272347,0.954145088
383,1,0.953122392,0.95218746,0.954057324
384,1,0.953037547,0.952104115,0.953970979
385,1,0.952954193,0.952022318,0.953886067
386,1,0.952872338,0.951942076,0.9538026
387,1,0.952791994,0.951863395,0.953720593
388,1,0.952713169,0.951786282,0.953640056
389,1,0.952635874,0.951710742,0.953561005
390,1,0.952560117,0.951636782,0.953483451
391,1,0.952485908,0.951564408,0.953407408
392,1,0.952413253,0.951493622,0.953332884
393,1,0.952342158,0.951424427,0.95325989
394,1,0.952272628,0.951356823,0.953188433
395,1,0.952204667,0.951290813,0.953118522
396,1,0.952138279,0.951226394,0.953050163
397,1,0.952073463,0.951163565,0.952983361
398,1,0.952010222,0.951102323,0.952918121
399,1,0.951948556,0.951042665,0.952854447
400,1,0.951888463,0.950984587,0.95279234
401,1,0.951829942,0.950928081,0.952731802
402,1,0.951772988,0.950873142,0.952672834
403,1,0.9517176,0.950819763,0.952615436
404,1,0.951663771,0.950767937,0.952559605
405,1,0.951611495,0.950717652,0.952505338
406,1,0.951560766,0.950668899,0.952452633
407,1,0.951511577,0.95062167,0.952401484
408,1,0.951463919,0.950575952,0.952351887
409,1,0.951417782,0.950531731,0.952303833
410,1,0.951373157,0.950488997,0.952257317
411,1,0.951330032,0.950447737,0.952212328
412,1,0.951288397,0.950407934,0.952168859
413,1,0.951248236,0.950369575,0.952126897
414,1,0.951209538,0.950332645,0.952086432
415,1,0.951172289,0.950297128,0.952047451
416,1,0.951136474,0.950263007,0.952009941
417,1,0.951102076,0.950230264,0.951973887
418,1,0.951069079,0.950198883,0.951939275
419,1,0.951037467,0.950168847,0.951906088
420,1,0.951007222,0.950140135,0.951874309
421,1,0.950978324,0.950112729,0.951843919
422,1,0.950950755,0.950086609,0.951814902
423,1,0.950924496,0.950061756,0.951787236
424,1,0.950899526,0.95003815,0.951760903
425,1,0.950875824,0.950015769,0.951735879
426,1,0.950853368,0.949994592,0.951712144
427,1,0.950832137,0.9499746,0.951689675
428,1,0.950812108,0.949955768,0.951668449
429,1,0.950793258,0.949938076,0.95164844
430,1,0.950775563,0.9499215,0.951629626
431,1,0.950758999,0.949906019,0.951611979
432,1,0.950743542,0.949891609,0.951595475
433,1,0.950729167,0.949878246,0.951580087
434,1,0.950715847,0.949865907,0.951565787
435,1,0.950703558,0.949854569,0.951552548
436,1,0.950692274,0.949844206,0.951540342
437,1,0.950681967,0.949834794,0.951529139
438,1,0.950672611,0.949826309,0.951518912
439,1,0.950664178,0.949818726,0.951509631
440,1,0.950656642,0.949812019,0.951501265
441,1,0.950649974,0.949806163,0.951493785
442,1,0.950644147,0.949801132,0.951487161
443,1,0.950639131,0.949796901,0.951481362
444,1,0.950634899,0.949793443,0.951476356
445,1,0.950631422,0.949790731,0.951472114
446,1,0.950628671,0.949788739,0.951468603
447,1,0.950626617,0.949787441,0.951465793
448,1,0.950625231,0.949786809,0.951463652
449,1,0.950624483,0.949786816,0.951462149
450,1,0.950624344,0.949787434,0.951461253
451,1,0.950624785,0.949788637,0.951460933
452,1,0.950625776,0.949790395,0.951461157
453,1,0.950627287,0.949792681,0.951461894
454,1,0.95062929,0.949795466,0.951463113
455,1,0.950631753,0.949798723,0.951464784
456,1,0.950634649,0.949802422,0.951466876
457,1,0.950637947,0.949806534,0.95146936
458,1,0.950641617,0.94981103,0.951472204
459,1,0.950645631,0.949815882,0.951475381
460,1,0.950649959,0.949821059,0.95147886
461,1,0.950654572,0.949826531,0.951482613
462,1,0.950659441,0.94983227,0.951486611
463,1,0.950664536,0.949838245,0.951490827
464,1,0.95066983,0.949844425,0.951495234
465,1,0.950675293,0.94985078,0.951499805
466,1,0.950680897,0.94985728,0.951504514
467,1,0.950686614,0.949863894,0.951509335
468,1,0.950692417,0.94987059,0.951514243
469,1,0.950698276,0.949877339,0.951519214
470,1,0.950704166,0.949884107,0.951524225
471,1,0.950710059,0.949890865,0.951529253
472,1,0.950715928,0.949897579,0.951534276
473,1,0.950721746,0.94990422,0.951539272
474,1,0.950727488,0.949910754,0.951544222
475,1,0.950733127,0.949917149,0.951549105
476,1,0.950738639,0.949923375,0.951553903
477,1,0.950743998,0.949929397,0.951558598
478,1,0.950749179,0.949935185,0.951563173
479,1,0.950754158,0.949940705,0.951567611
480,1,0.950758911,0.949945925,0.951571897
481,1,0.950763415,0.949950813,0.951576017
482,1,0.950767647,0.949955336,0.951579957
483,1,0.950771583,0.949959461,0.951583705
484,1,0.950775203,0.949963157,0.951587249
485,1,0.950778484,0.949966391,0.951590578
486,1,0.950781406,0.94996913,0.951593681
487,1,0.950783947,0.949971343,0.951596551
488,1,0.950786088,0.949972998,0.951599178
489,1,0.950787809,0.949974062,0.951601555
490,1,0.95078909,0.949974505,0.951603676
491,1,0.950789914,0.949974295,0.951605533
492,1,0.950790262,0.949973402,0.951607123
493,1,0.950790118,0.949971795,0.951608441
494,1,0.950789463,0.949969445,0.951609482
495,1,0.950788282,0.949966321,0.951610243
496,1,0.950786559,0.949962396,0.951610722
497,1,0.95078428,0.949957642,0.951610917
498,1,0.950781429,0.949952032,0.951610826
499,1,0.950777992,0.949945538,0.951610445
500,1,0.950773956,0.949938135,0.951609776
501,1,0.950769309,0.949929799,0.951608818
502,1,0.950764038,0.949920507,0.951607569
