time,group,mean,P2_5,P97_5,P25,P75,day
11,1,3.914520625,2.284151445,5.541605032,3.369832199,4.482059248,150
11,2,3.914520625,2.284151445,5.541605032,3.369832199,4.482059248,150
11,3,3.914520625,2.284151445,5.541605032,3.369832199,4.482059248,150
12,1,3.700279047,2.159062331,5.240416166,3.185286939,4.237792735,165
12,2,3.700146085,2.159062331,5.238124953,3.185286939,4.236604061,165
12,3,3.700146085,2.159062331,5.238124953,3.185286939,4.236604061,165
13,1,4.943446703,2.283964694,7.265342065,3.492060639,6.235422403,180
13,2,3.497511537,2.040823589,4.951264635,3.010848102,4.004590966,180
13,3,3.497511537,2.040823589,4.951264635,3.010848102,4.004590966,180
14,1,6.276258175,5.058659673,7.492310804,5.853258963,6.692162591,195
14,2,3.305974054,1.929060065,4.680113917,2.845962222,3.785283819,195
14,3,3.305974054,1.929060065,4.680113917,2.845962222,3.785283819,195
15,1,6.26533048,5.055225249,7.47874961,5.843678659,6.680167781,210
15,2,3.124925917,1.823417151,4.423812478,2.690106141,3.577986795,210
15,3,3.124925917,1.823417151,4.423812478,2.690106141,3.577986795,210
16,1,6.253990138,5.046075215,7.465212961,5.833101513,6.668076578,225
16,2,2.95407955,1.723559659,4.191008559,2.543263073,3.38358383,225
16,3,2.953792687,1.723559659,4.181547113,2.542785352,3.38204217,225
17,1,6.242670322,5.036941744,7.451700814,5.822543512,6.656007259,240
17,2,5.797547325,1.848899953,7.686805453,2.799583745,6.852044649,240
17,3,2.792031386,1.629170755,3.952549153,2.403532429,3.196828243,240
18,1,6.231370996,5.027824804,7.438213124,5.812004621,6.643959787,255
18,2,6.866710189,5.887730962,7.84307685,6.526364006,7.199999696,255
18,3,2.63912877,1.539950959,3.736092021,2.271905543,3.02175736,255
19,1,6.220092121,5.018724366,7.424749847,5.801484806,6.63193412,270
19,2,6.854579329,5.883215713,7.828880764,6.515580834,7.187085213,270
19,3,2.494599702,1.45561719,3.531488932,2.147487063,2.856274046,270
20,1,6.208833661,5.0096404,7.411310939,5.790984032,6.61993022,285
20,2,6.842172438,5.872567004,7.814710373,6.503787536,7.174076482,285
20,3,2.357985614,1.37590187,3.338090713,2.029882228,2.699853249,285
21,1,6.19759558,5.000572876,7.397896356,5.780502264,6.607948048,300
21,2,6.829788003,5.86193757,7.80056563,6.492015583,7.161091296,300
21,3,2.228853051,1.300552074,3.155283741,1.918717896,2.55199867,300
22,1,6.186377839,4.991521764,7.384506053,5.770039469,6.595987563,315
22,2,6.817425985,5.851327376,7.78644649,6.480264938,7.148129614,315
22,3,2.106792295,1.229328729,2.982487998,1.81364136,2.412241189,315
23,1,6.175180403,4.982487035,7.371139986,5.759595611,6.584048727,330
23,2,6.805086342,5.840736386,7.772352905,6.468535561,7.135191392,330
23,3,1.991416065,1.162005854,2.819155229,1.714319229,2.280137377,330
24,1,6.164003234,4.973468659,7.357798113,5.749170657,6.5721315,345
24,2,6.792769034,5.830164566,7.75828483,6.456827415,7.122276589,345
24,3,1.882460933,1.098369845,2.672175486,1.620618568,2.156783622,345
25,1,6.152846296,4.964466607,7.344480388,5.738764572,6.560235844,360
25,2,6.780474021,5.819611881,7.744242219,6.445140461,7.109385162,360
25,3,2.829411051,1.158333623,8.226549198,1.775610807,7.701634027,360
26,1,6.141709552,4.955480848,7.331186769,5.728377323,6.548361719,375
26,2,6.768201261,5.809078296,7.730225025,6.433474661,7.096517069,375
26,3,7.714657808,7.092928169,8.33463251,7.500696313,7.92378306,375
