bV_mean,alphaV_mean
2.47884,4.79232
1.199565,5.58204
2.494035,3.659795
2.05944,4.199115
3.007375,3.008365
2.562945,5.713535
2.009695,5.40756
2.48298,5.421695
3.05724,4.133615
2.39121,0.1955425
2.256995,5.385745
2.67701,3.41497
2.24089,4.527485
2.93375,4.82362
2.831585,3.802575
2.13325,5.67326
1.524705,6.24445
2.69406,2.9859
2.63535,4.10638
2.917125,3.798475
2.21097,5.34862
2.300785,4.2153
4.21167,3.55889
3.21986,3.918955
2.11756,5.268545
1.97271,6.07862
2.865,0.384966
2.700885,5.49972
2.801135,4.80911
2.36114,4.25555
2.736695,5.834715
2.777605,4.15555
2.549985,3.929065
