time,group,median,q1,q3
598,1,7.6715,7.02276,8.24841
602,1,7.66445,7.01625,8.24083
606,1,7.65744,7.00983,8.23324
610,1,7.65036,7.0033775,8.2257
614,1,7.65023,7.00388,8.21837
618,1,7.64322,6.9974375,8.21083
622,1,7.63618,6.9909975,8.2032325
626,1,7.63281,6.9846775,8.2156825
630,1,7.62585,6.9873675,8.2081425
634,1,7.619125,6.9962975,8.2006125
638,1,7.61215,6.98988,8.19304
642,1,7.60515,6.98349,8.1855125
646,1,7.59934,6.97712,8.1939525
650,1,7.59234,6.97069,8.18642
654,1,7.59997,6.99479,8.18081
658,1,7.592985,6.98834,8.17331
662,1,7.586,6.9819175,8.16575
666,1,7.58625,7.0055375,8.15842
670,1,7.57929,6.99907,8.15091
674,1,7.57232,6.99268,8.14341
678,1,7.56536,6.9862775,8.13594
682,1,7.5584,6.97983,8.1285
686,1,7.55145,6.97343,8.12099
690,1,7.5445,6.96703,8.11349
694,1,7.537565,6.96065,8.10601
698,1,7.5306,6.95428,8.09853
702,1,7.52366,6.94787,8.09108
706,1,7.516755,6.94148,8.0836325
710,1,7.50986,6.93512,8.07618
714,1,7.50293,6.92871,8.0688
718,1,7.49604,6.92237,8.0614
722,1,7.48913,6.91598,8.0539725
726,1,7.48222,6.9096075,8.04656
730,1,7.475355,6.90321,8.03914
734,1,7.46847,6.89689,8.0316925
738,1,7.46157,6.890565,8.02433
742,1,7.45472,6.88421,8.0169525
746,1,7.44786,6.87787,8.00958
750,1,7.441005,6.87153,8.00222
754,1,7.434165,6.8652275,7.9948625
758,1,7.42732,6.8589575,7.98751
762,1,7.42048,6.8526575,7.98012
766,1,7.413665,6.8463075,7.9727925
770,1,7.40686,6.84002,7.96544
774,1,7.40005,6.83372,7.95811
778,1,7.39328,6.82747,7.95076
782,1,7.40761,6.85104,7.9738025
786,1,7.40078,6.84475,7.96649
790,1,7.39399,6.8384475,7.9591825
794,1,7.4077,6.85736,7.97033
798,1,7.400915,6.8511,7.9630025
802,1,7.39409,6.84481,7.9557
806,1,7.387295,6.8385575,7.9484
810,1,7.38049,6.83225,7.94114
814,1,7.3737,6.8259375,7.9338325
818,1,7.36691,6.81966,7.92652
822,1,7.360135,6.81338,7.91921
826,1,7.35334,6.80713,7.91192
830,1,7.34658,6.80087,7.90463
834,1,7.33987,6.79461,7.89738
838,1,7.333095,6.788395,7.89011
842,1,7.32632,6.78215,7.88282
846,1,7.3196,6.77593,7.87558
850,1,7.31287,6.7696875,7.8683625
854,1,7.30612,6.7634475,7.86112
858,1,7.29937,6.7572175,7.85391
862,1,7.292665,6.751,7.8467
866,1,7.28595,6.74483,7.839465
870,1,7.27928,6.7385975,7.8322725
874,1,7.272605,6.7324175,7.8250725
878,1,7.26591,6.7262275,7.81786
882,1,7.25923,6.72005,7.81063
886,1,7.252545,6.7138775,7.8034925
890,1,7.245855,6.7077275,7.7963125
894,1,7.23917,6.70154,7.78915
898,1,7.232495,6.69536,7.782
902,1,7.22581,6.68919,7.77485
906,1,7.21918,6.68303,7.7677625
910,1,7.21258,6.67689,7.76062
914,1,7.205955,6.67075,7.75346
918,1,7.19935,6.6646375,7.74635
922,1,7.192735,6.6584975,7.7392625
926,1,7.18611,6.6524,7.73219
930,1,7.17948,6.6462775,7.7251
934,1,7.17286,6.64013,7.71802
938,1,7.166265,6.63403,7.71092
942,1,7.15968,6.62791,7.70384
946,1,7.15309,6.6218075,7.6967
950,1,7.1465,6.61571,7.68965
954,1,7.13994,6.6096575,7.68258
958,1,7.13336,6.60356,7.6755
962,1,7.126795,6.59746,7.66843
966,1,7.12026,6.5913675,7.66136
970,1,7.11373,6.58529,7.65433
974,1,7.10717,6.57925,7.64734
978,1,7.100605,6.5731775,7.64031
982,1,7.09408,6.5671475,7.63329
986,1,7.087505,6.5610875,7.62631
990,1,7.080985,6.55504,7.6192425
994,1,7.074485,6.54903,7.61227
998,1,7.067975,6.5430075,7.6052725
1002,1,7.06146,6.5369875,7.59828
1006,1,7.055005,6.5309875,7.5913025
1010,1,7.048535,6.52499,7.58433
1014,1,7.0421,6.5189975,7.57733
1018,1,7.03563,6.5129875,7.57039
1022,1,7.02917,6.50699,7.56344
1026,1,7.02272,6.50101,7.55645
1030,1,7.01629,6.49505,7.5495325
1034,1,7.00984,6.48913,7.54262
1038,1,7.00336,6.48315,7.53572
1042,1,6.996925,6.47719,7.52883
1046,1,6.99048,6.4712275,7.5218925
1050,1,6.98406,6.4652975,7.51497
1054,1,6.9776,6.45936,7.50808
1058,1,6.9712,6.4533975,7.5011525
1062,1,6.96482,6.44744,7.4942125
1066,1,6.9584,6.4414975,7.48735
1070,1,6.95204,6.43557,7.48043
1074,1,6.94567,6.42966,7.4735625
1078,1,6.93925,6.42376,7.46668
0,2,6.81026,6.36727,7.25086
4,2,6.70856,6.27197,7.1434325
8,2,6.608585,6.1778,7.03762
12,2,6.50991,6.08506,6.93353
16,2,6.41253,5.9935275,6.8312
20,2,6.31672,5.90336,6.73081
24,2,6.22253,5.81461,6.63185
28,2,6.12992,5.72707,6.53452
32,2,6.038845,5.6405,6.4386
36,2,5.9489,5.5550375,6.34404
40,2,5.86072,5.47093,6.25111
44,2,5.774,5.38774,6.15958
48,2,5.68837,5.30555,6.0696
52,2,5.60414,5.2243675,5.9807725
56,2,5.521185,5.14438,5.89348
60,2,5.43968,5.06538,5.8078
64,2,5.35922,4.98752,5.72343
68,2,5.27996,4.91054,5.64032
72,2,5.20185,4.8347,5.55881
76,2,5.12485,4.75993,5.47877
80,2,5.04889,4.686,5.39988
84,2,4.9739,4.61321,5.32246
88,2,4.90008,4.54128,5.2465425
92,2,4.827295,4.47072,5.1718
96,2,4.75542,4.40096,5.09833
100,2,4.68466,4.33222,5.0259
104,2,4.6148,4.26448,4.95458
108,2,4.54597,4.19767,4.88416
112,2,4.47793,4.1318175,4.8151
116,2,4.41087,4.06686,4.74702
120,2,4.34479,4.0027875,4.68008
124,2,4.27968,3.93965,4.61413
128,2,4.2158,3.8775075,4.5491
132,2,4.15264,3.81638,4.48512
136,2,4.09031,3.75594,4.4220025
140,2,4.02898,3.69644,4.35996
144,2,3.96871,3.63772,4.29877
148,2,3.90928,3.57995,4.23855
152,2,3.85068,3.52299,4.1793
156,2,3.79297,3.46703,4.12095
160,2,3.73605,3.41166,4.06352
164,2,3.67994,3.35713,4.00692
168,2,3.624745,3.3035275,3.95114
172,2,3.57047,3.25069,3.89622
176,2,3.51692,3.19862,3.84203
180,2,3.46412,3.1474275,3.78858
184,2,3.41207,3.09693,3.73587
188,2,3.36086,3.04729,3.68412
192,2,3.31049,2.9983,3.63311
196,2,3.26085,2.95005,3.58268
200,2,3.21198,2.90256,3.53317
204,2,3.163765,2.8557,3.48432
208,2,3.116345,2.80962,3.4362025
212,2,3.06966,2.76429,3.38887
216,2,3.02363,2.71965,3.34213
220,2,2.97827,2.67569,3.29609
224,2,2.93359,2.6324275,3.25067
228,2,2.8895,2.58985,3.20596
232,2,2.84619,2.54793,3.16184
236,2,2.80349,2.50664,3.11847
240,2,2.76148,2.466,3.0757
244,2,2.82661,2.48694,3.2766325
248,2,3.01426,2.56008,6.682565
252,2,3.277265,2.61472,7.1636125
256,2,5.92461,2.68462,7.32608
260,2,6.454135,2.75287,7.44046
264,2,6.730085,2.93685,7.5505
268,2,6.90031,3.4625275,7.65606
272,2,6.96733,5.6295,7.68282
276,2,7.02542,6.05214,7.7071925
280,2,7.043595,6.1672475,7.7041725
284,2,7.04857,6.22525,7.6978225
288,2,7.05628,6.2503,7.70074
292,2,7.06435,6.2738075,7.70459
296,2,7.08584,6.3223775,7.71461
300,2,7.09266,6.3420075,7.71441
304,2,7.11765,6.4062,7.7254025
308,2,7.111105,6.4003375,7.71828
312,2,7.10459,6.39445,7.7112025
316,2,7.10081,6.40854,7.70412
320,2,7.09426,6.40263,7.69702
324,2,7.11298,6.4383475,7.70226
328,2,7.11942,6.45251,7.70373
332,2,7.12554,6.46642,7.70552
336,2,7.11902,6.46046,7.69842
340,2,7.11249,6.4545,7.69134
344,2,7.10597,6.44857,7.68424
348,2,7.09944,6.4426375,7.67715
352,2,7.0929,6.43668,7.67008
356,2,7.08638,6.43074,7.6630125
360,2,7.07984,6.42485,7.65596
390,2,7.03111,6.3807075,7.60329
394,2,7.02465,6.37482,7.59631
398,2,7.0182,6.36895,7.58932
402,2,7.01174,6.3631,7.58233
406,2,7.00529,6.35722,7.57536
410,2,6.99884,6.35137,7.5683925
414,2,6.9924,6.34555,7.56143
418,2,6.98598,6.33975,7.55446
422,2,6.97954,6.33391,7.5475125
426,2,6.982,6.3465,7.5413125
430,2,6.97558,6.34065,7.53434
434,2,6.96914,6.3348175,7.52739
438,2,6.96271,6.32898,7.52045
442,2,6.95634,6.32319,7.51353
446,2,6.94994,6.31735,7.5065825
450,2,6.94356,6.31156,7.4997
454,2,6.93717,6.30579,7.49283
458,2,6.93081,6.3,7.48595
462,2,6.92443,6.29421,7.47904
466,2,6.918075,6.28842,7.47216
470,2,6.911705,6.28262,7.46528
474,2,6.90536,6.27681,7.45842
478,2,6.89902,6.27107,7.45156
482,2,6.892665,6.2653,7.44471
486,2,6.88633,6.25957,7.43785
490,2,6.88,6.25378,7.431
494,2,6.87366,6.2480375,7.42415
498,2,6.86736,6.2422775,7.4173125
502,2,6.86106,6.23655,7.41048
506,2,6.85477,6.23084,7.40365
510,2,6.84848,6.2251,7.39683
514,2,6.842185,6.21938,7.39006
518,2,6.83587,6.21366,7.38327
522,2,6.8296,6.20794,7.3765
526,2,6.8233,6.20222,7.36971
530,2,6.81742,6.19647,7.36841
534,2,6.81113,6.1907575,7.3616225
538,2,6.80485,6.18504,7.3548525
542,2,6.7986,6.1793275,7.34809
546,2,6.79235,6.17363,7.34135
550,2,6.89021,6.2470375,7.4976225
554,2,7.00349,6.36255,7.63827
558,2,7.079505,6.3987,7.74125
562,2,7.15317,6.47361,7.82488
566,2,7.17347,6.48664,7.8678225
570,2,7.22488,6.5380875,7.9278425
574,2,7.279695,6.59898,7.95515
578,2,7.35112,6.66361,8.0468425
582,2,7.3785,6.6826475,8.08212
586,2,7.37172,6.67649,8.07469
590,2,7.376885,6.68787,8.06881
594,2,7.38233,6.69442,8.06622
598,2,7.38636,6.70082,8.05983
602,2,7.38856,6.69574,8.0691725
606,2,7.396595,6.70553,8.0627125
610,2,7.40333,6.7133675,8.06807
614,2,7.39736,6.72233,8.06066
618,2,7.39055,6.7161675,8.0532625
622,2,7.38569,6.72608,8.04587
626,2,7.382315,6.72001,8.0558825
630,2,7.37632,6.7191975,8.0485
634,2,7.36953,6.71305,8.0411
638,2,7.36278,6.70691,8.0337025
642,2,7.357295,6.71626,8.02632
646,2,7.35051,6.71008,8.01894
650,2,7.34376,6.7039,8.01158
654,2,7.33701,6.6977,8.00421
658,2,7.330265,6.69154,7.99685
662,2,7.3235,6.6854,7.9894525
666,2,7.31679,6.67923,7.9821
670,2,7.31007,6.6731,7.97475
674,2,7.30337,6.6669775,7.96743
678,2,7.29671,6.66635,7.96009
682,2,7.289985,6.66026,7.95275
686,2,7.28327,6.65417,7.94543
690,2,7.28894,6.65576,7.95119
694,2,7.28223,6.6496575,7.9438625
698,2,7.27552,6.6435475,7.9365325
702,2,7.26882,6.63742,7.9292425
706,2,7.26214,6.63133,7.92198
710,2,7.25545,6.62524,7.91468
714,2,7.2488,6.61915,7.90738
718,2,7.24619,6.62565,7.90015
722,2,7.23951,6.61955,7.89289
726,2,7.23292,6.61347,7.8856425
730,2,7.22627,6.60739,7.8784
734,2,7.21963,6.6013175,7.87118
738,2,7.213,6.59523,7.86395
742,2,7.20637,6.5891575,7.85674
746,2,7.199725,6.5830875,7.84952
750,2,7.19314,6.57701,7.84231
754,2,7.18653,6.57097,7.8351
758,2,7.17994,6.56493,7.82795
762,2,7.17335,6.5588875,7.82074
766,2,7.166755,6.55284,7.81354
770,2,7.16014,6.54682,7.80636
774,2,7.15353,6.5408,7.79918
778,2,7.14693,6.53477,7.79201
782,2,7.14035,6.52876,7.78484
786,2,7.1338,6.52274,7.77764
790,2,7.12724,6.51673,7.7705
794,2,7.12065,6.5107375,7.76335
798,2,7.12305,6.50693,7.7748825
802,2,7.11652,6.50093,7.76772
806,2,7.10997,6.4949875,7.76057
810,2,7.10346,6.4890075,7.75341
814,2,7.09692,6.48304,7.74628
818,2,7.09038,6.4771,7.73914
822,2,7.08385,6.4711475,7.732
826,2,7.07735,6.4651675,7.72488
830,2,7.07084,6.4592,7.71775
834,2,7.06436,6.45324,7.71064
838,2,7.05786,6.4472975,7.70353
842,2,7.051365,6.44137,7.69647
846,2,7.04491,6.43544,7.68937
850,2,7.03842,6.42953,7.68231
854,2,7.03195,6.42362,7.6752325
858,2,7.02548,6.41768,7.66818
862,2,7.019015,6.41176,7.66111
866,2,7.01255,6.40583,7.65409
870,2,7.0061,6.39996,7.64707
874,2,6.999675,6.39405,7.64004
878,2,6.99327,6.3881575,7.63309
882,2,6.98683,6.38226,7.62605
886,2,6.98039,6.37639,7.6190325
890,2,6.97395,6.3705075,7.61202
894,2,6.96753,6.36466,7.60504
898,2,6.96112,6.35878,7.59809
902,2,6.95471,6.35291,7.59112
906,2,6.9483,6.34708,7.58412
910,2,6.9419,6.34123,7.57716
914,2,6.93551,6.3354,7.57018
918,2,6.92913,6.32958,7.56321
922,2,6.92278,6.32374,7.55624
926,2,6.9164,6.31789,7.54929
930,2,6.91003,6.31209,7.54233
934,2,6.90366,6.3063,7.53538
938,2,6.89732,6.30048,7.52845
942,2,6.891,6.29466,7.52151
946,2,6.88465,6.2888475,7.51461
950,2,6.87832,6.2830775,7.50769
954,2,6.871995,6.27729,7.50078
958,2,6.865685,6.27152,7.49387
962,2,6.85937,6.26576,7.48696
966,2,6.853085,6.26001,7.48008
970,2,6.84676,6.25426,7.47322
974,2,6.84046,6.24852,7.46633
978,2,6.83418,6.24279,7.45948
982,2,6.82788,6.2370575,7.45262
986,2,6.8216,6.23132,7.44578
990,2,6.81533,6.22557,7.43894
994,2,6.80906,6.21986,7.4321025
998,2,6.8028,6.21412,7.42527
1002,2,6.79655,6.2083875,7.41846
1006,2,6.79031,6.2026875,7.4116525
1010,2,6.78406,6.1969975,7.40483
1014,2,6.7778,6.19127,7.39801
1018,2,6.77156,6.1856,7.39121
1022,2,6.76533,6.17991,7.38442
1026,2,6.75909,6.17422,7.37761
1030,2,6.75287,6.16856,7.3708325
1034,2,6.74667,6.16287,7.36405
1038,2,6.740475,6.15719,7.35728
1042,2,6.73427,6.15155,7.35052
1046,2,6.72807,6.14585,7.34378
1050,2,6.72187,6.1402175,7.337
1054,2,6.71571,6.13455,7.3302425
1058,2,6.70952,6.12889,7.32349
1062,2,6.70335,6.1232275,7.3167325
1066,2,6.69719,6.11758,7.30999
1070,2,6.69102,6.11194,7.30327
1074,2,6.68485,6.10631,7.29654
1078,2,6.67871,6.1006775,7.28983
0,3,8.21109,7.8462975,8.75576
4,3,8.09285,7.73416,8.62801
8,3,7.97669,7.62327,8.5024025
12,3,7.86276,7.51376,8.3790625
16,3,7.750495,7.40536,8.257545
20,3,7.64051,7.29884,8.13908
24,3,7.531795,7.19341,8.0225025
28,3,7.42533,7.08924,7.90752
32,3,7.32065,6.9862775,7.7950925
36,3,7.21745,6.88477,7.68474
40,3,7.116085,6.78429,7.5763825
44,3,7.01602,6.6853975,7.47037
48,3,6.91738,6.5879675,7.3663
52,3,6.82024,6.49162,7.26417
56,3,6.724615,6.3967,7.16392
60,3,6.63047,6.30258,7.0652
64,3,6.53772,6.21,6.9680625
68,3,6.44595,6.1182975,6.87287
72,3,6.35536,6.02787,6.7794925
76,3,6.2665,5.93873,6.6878025
80,3,6.17858,5.85081,6.5975525
84,3,6.09192,5.76413,6.5092225
88,3,6.00661,5.6784775,6.42227
92,3,5.92237,5.59393,6.3369325
96,3,5.83938,5.51063,6.2527
100,3,5.75736,5.42842,6.17009
104,3,5.67644,5.34737,6.08894
108,3,5.59683,5.26746,6.00902
112,3,5.51834,5.1885275,5.93023
116,3,5.44095,5.11049,5.85303
120,3,5.364255,5.03359,5.77765
124,3,5.28884,4.9577,5.7028525
128,3,5.21434,4.88292,5.6290425
132,3,5.14095,4.8090475,5.55621
136,3,5.06864,4.7362,5.4839925
140,3,4.9971,4.66438,5.4120525
144,3,4.926845,4.59366,5.34017
148,3,4.85737,4.52394,5.268745
152,3,4.78852,4.45517,5.1974825
156,3,4.720935,4.38737,5.12694
160,3,4.654065,4.32043,5.0567825
164,3,4.58767,4.2545,4.98773
168,3,4.52189,4.18927,4.91857
172,3,4.45656,4.12498,4.85046
176,3,4.39194,4.06167,4.7823225
180,3,4.328005,3.99896,4.7148725
184,3,4.264835,3.9369,4.64798
188,3,4.20244,3.87569,4.582
192,3,4.14073,3.81496,4.51652
196,3,4.079585,3.7549475,4.45242
200,3,4.01942,3.69564,4.3894
204,3,3.95959,3.63713,4.3278525
208,3,3.90044,3.5791875,4.2678325
212,3,3.84222,3.52193,4.20911
216,3,3.78456,3.4656875,4.15185
220,3,3.72778,3.4103375,4.09568
224,3,3.67173,3.35538,4.0408925
228,3,3.61649,3.30121,3.9869325
232,3,3.56221,3.24753,3.9341325
236,3,3.50871,3.19461,3.88234
240,3,3.456,3.14239,3.83137
244,3,3.497705,3.14543,3.99777
248,3,3.71591,3.20219,5.83836
252,3,4.16457,3.29974,6.91042
256,3,4.349605,3.2707,6.94718
260,3,5.98318,3.39094,7.1137825
264,3,6.207705,3.50731,7.1530275
268,3,6.402095,3.704485,7.19534
272,3,6.5726,4.3016975,7.2566725
276,3,6.645735,5.35273,7.30559
280,3,6.6736,5.58962,7.31844
284,3,6.70114,5.67548,7.33906
288,3,6.72804,5.750845,7.3643925
292,3,6.72182,5.745525,7.3576
296,3,6.78009,5.8800375,7.41668
300,3,6.77384,5.87466,7.40987
304,3,6.82933,5.992465,7.45927
308,3,6.82301,5.9869275,7.45238
312,3,6.81673,5.981395,7.4454825
316,3,6.81046,5.97588,7.4386625
320,3,6.8042,5.9704075,7.4318
324,3,6.797945,5.9649675,7.4249925
328,3,6.82187,6.0148475,7.4434525
332,3,6.81558,6.009285,7.4365725
336,3,6.80932,6.0037375,7.42972
340,3,6.803055,5.99825,7.4228925
344,3,6.796825,5.9927475,7.41613
