group,alpha_est,Tbv_est,Tv_est
2,5.794195,2.213465,8.0061
2,5.574975,2.255265,7.844635
2,3.87358,3.34608,7.219555
2,4.227955,2.417035,6.652905
2,5.055455,2.10307,7.16653
2,3.448695,3.034005,6.49071
2,4.327275,2.42736,6.763515
2,4.920845,2.57229,7.49556
2,4.61702,2.206105,6.821875
2,5.1157,1.87181,7.003105
2,5.18718,2.00232,7.19973
2,3.95822,3.288605,7.25822
2,4.391415,2.29821,6.69526
2,1.93146,3.56421,5.49433
2,5.33194,2.60229,7.940165
2,4.94886,2.499875,7.462955
2,4.181215,2.502115,6.691765
2,2.69337,3.04083,5.74825
2,2.765515,3.06127,5.83543
2,3.02789,3.81836,6.85565
2,5.27017,1.94498,7.22032
2,2.849415,3.093435,5.944025
2,5.52525,2.059055,7.598775
2,5.529985,2.46593,8.001855
2,5.57377,1.09606,6.684775
2,4.8555,1.64618,6.513975
1,2.58675,0.9732045,3.575325
2,5.97976,2.322445,8.3044
2,3.740355,2.66795,6.417745
2,5.881835,1.974295,7.86727
2,3.877835,3.40729,7.292365
1,0.134393,3.09351,3.265995
2,4.83152,2.004425,6.83739
2,4.120985,3.25015,7.37045
2,5.14459,2.717495,7.86895
2,5.50418,2.405095,7.913205
2,3.95788,2.875715,6.84952
2,2.95272,3.850245,6.79875
2,3.005105,3.33404,6.343985
2,4.77347,2.831575,7.61135
2,4.93957,2.992865,7.941805
2,5.19631,3.02038,8.226465
2,5.655405,2.74527,8.4086
2,4.73044,3.07094,7.807845
2,4.73377,2.35642,7.097175
2,5.10034,2.691335,7.795975
2,5.220755,2.468925,7.69815
2,5.390085,2.39,7.790955
2,4.049735,2.9278,6.977935
2,5.652585,2.10338,7.765665
2,4.55007,3.2841,7.836195
2,3.929065,2.59535,6.531155
2,5.93494,2.13786,8.080495
2,4.86809,2.345805,7.218155
2,2.56343,3.41755,5.996
2,1.49122,3.99688,5.48723
2,5.556435,1.77067,7.336195
2,5.2201,3.41227,8.64185
2,3.57138,1.85541,5.427285
2,3.5582,3.83725,7.40005
2,4.56946,2.93206,7.50159
2,5.244475,2.642335,7.895235
2,3.49665,3.25124,6.755385
2,5.072365,2.590355,7.66797
2,4.268585,2.43506,6.7104
2,4.95642,2.096005,7.05432
2,4.89805,3.826435,8.72649
2,7.08549,1.51673,8.625105
2,5.352115,2.52646,7.88813
2,5.865215,1.699895,7.565975
2,5.499175,1.756095,7.27147
2,3.621255,2.878575,6.50422
2,5.377355,1.85173,7.230685
2,5.0744,2.77272,7.843765
2,6.90639,1.558445,8.46957
2,4.56066,3.153115,7.72063
2,5.78976,2.067365,7.866215
2,5.53873,2.45415,7.99626
2,2.18982,3.68951,5.88844
2,3.669775,3.43008,7.118425
2,5.49382,1.743995,7.252465
2,2.080135,2.222375,4.32516
2,4.75285,2.52375,7.28046
2,6.582935,2.507195,9.099485
2,4.18653,2.110575,6.30421
2,4.80359,2.75727,7.574365
2,4.377775,2.666255,7.044405
2,5.879765,2.192935,8.08375
2,5.29555,2.23348,7.53616
2,4.888995,2.722185,7.622405
2,5.688475,2.49453,8.18338
2,5.831065,3.49588,9.33039
2,4.401375,3.01578,7.43323
1,0.3318635,2.100085,2.46622
2,5.51036,2.3028,7.826025
2,4.969395,2.51879,7.501125
2,5.346915,2.459605,7.809645
2,6.183175,1.588345,7.774335
2,6.097195,2.27581,8.37907
2,5.716665,2.692445,8.42022
2,3.95252,3.71457,7.67185
1,0.18291,2.45234,2.678425
2,3.90545,2.787795,6.70015
1,0.8296425,2.31303,3.164175
2,4.40014,2.664295,7.06343
2,3.67143,2.993355,6.67524
2,5.417055,2.444905,7.87175
2,6.773105,1.32998,8.120535
2,5.119515,2.03078,7.15479
2,5.098895,3.0444,8.143475
2,4.936545,2.884745,7.830785
2,3.73817,3.090945,6.83788
2,6.643575,1.8184,8.48447
1,0.167721,3.938455,4.145715
2,5.863115,1.67844,7.55075
2,1.190415,3.988165,5.188525
2,3.72707,2.43287,6.18232
2,4.38879,3.13122,7.521405
2,6.355165,2.15008,8.511915
2,6.197605,2.13107,8.33477
2,5.81422,1.858485,7.67774
2,4.116555,2.785155,6.908035
2,5.881355,2.15728,8.04705
2,6.477325,2.369705,8.85422
2,4.289715,1.4755,5.774145
2,4.84032,2.26589,7.11563
2,5.60471,1.9357,7.55905
2,4.417065,2.746865,7.177865
2,4.084795,3.315085,7.423165
2,0.9271745,2.740945,3.680235
1,0.231378,2.27815,2.550385
2,4.897155,2.69916,7.597805
2,6.0618,1.04036,7.1121
2,3.774605,2.582675,6.36502
2,4.42165,1.945665,6.37905
2,3.317325,2.97493,6.30341
2,5.78361,2.66709,8.449155
2,5.400625,2.168365,7.58191
2,5.57693,2.481925,8.07512
2,4.32015,3.00007,7.328505
1,0.1443665,2.23351,2.41814
2,5.884785,2.19377,8.090835
2,3.25141,2.930275,6.189195
2,4.71322,2.393975,7.1223
2,4.51887,3.408185,7.9324
2,4.2061,2.754275,6.95815
2,5.90201,2.034355,7.94421
2,6.6042,1.46504,8.07933
2,2.829805,3.103715,5.93753
2,4.076095,2.73857,6.817115
2,3.56697,3.23502,6.806525
2,5.45772,2.41741,7.8912
2,4.13601,2.686395,6.842035
2,5.77614,2.29502,8.088655
2,3.98467,3.49573,7.498135
2,5.71311,2.01412,7.739515
2,6.28817,1.989585,8.283015
1,0.3061455,2.809175,3.163435
2,5.57792,2.739435,8.326745
2,5.010405,2.96841,7.989405
2,4.5764,2.31309,6.89226
2,6.049345,2.814035,8.872815
2,4.34665,2.659445,7.003565
2,3.946415,2.84862,6.806225
